,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100,MRR
ACM-DBLP-P_(),0.618,0.912,0.941,0.947,0.959,0.719
"ACM-DBLP-P_(no_joint_rwr, )",0.551,0.865,0.912,0.925,0.939,0.657
"ACM-DBLP-P_(use_pgna, )",0.563,0.878,0.924,0.930,0.942,0.669
foursquare-twitter_(),0.245,0.409,0.508,0.550,0.623,0.304
"foursquare-twitter_(no_joint_rwr, )",0.143,0.303,0.403,0.444,0.504,0.196
"foursquare-twitter_(use_pgna, )",0.037,0.130,0.200,0.241,0.292,0.070
phone-email_(),0.326,0.749,0.931,0.984,0.999,0.471
"phone-email_(no_joint_rwr, )",0.271,0.671,0.879,0.974,0.998,0.412
"phone-email_(use_pgna, )",0.263,0.680,0.910,0.969,0.998,0.404
